Lon,Lat,Clave,Edo,Est,Tmed
-100.07,20.41,CNSQT,QRO,CONSTITUCION DE 1917,12.5
-100.35,20.5,BATQT,QRO,EL BATAN,12.5
-100.45,20.53,EPUQT,QRO,EL PUEBLITO,13.6
-100.36,20.56,OBSQT,QRO,OBSERVATORIO DE QUERETARO,14.1
-99.81,21.05,PMLQT,QRO,PE¥AMILLER,16.3
-102.07,22.1,VJZAG,AGS,VILLA JUÁREZ,11.8
-101.93,21.36,OLMJL,JAL,LAGOS DE MORENO OBS.,15.8
-100.36,20.56,GHQQT,QRO,GERENCIA HIDALGO QRO.,13.8
-99.71,19.2,SJHMX,MEX,SAN JUAN DE LAS HUERTAS,10.2
-105.11,21.83,CAPNR,NAY,CAPOMAL,23.1
-99.26,18.73,ALUMR,MOR,ALPUYECA,20.2
-97.25,19.58,PERVC,VER,PEROTE,6.5
-103.45,20.75,BAZJL,JAL,Base Aerea Zapopan Jal.,14.8
-99.8,19.63,SMLMX,MEX,SANTA MARIA DEL LLANO,10.1
-99.24,19.47,CCH Naucalpan,MEX,CCH Naucalpan,13.5
-93.1,16.83,CSUMIDERO,CHIS,Cañon del Sumidero Chis. SMN*,16.2
-92.93,17.53,PUYACATENGO,TAB,PUYACATENGO TAB.,20.8
-92.88,18.01,PORVENIR,TAB,PORVENIR TAB.                                                                                                                                        ,23.2
-102.17,25.45,PARCL,COAH,PARRAS,11.4
-96.88,19.6,INCVC,VER,INGENIO CONCEPCION,13.1
